YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Cadillac,XT4,PERFORMANCE,TURBOCHARGED ENGINE,"With a restless 258 lb-ft of torque and  237 hp, the turbocharged engine brings the stampede. Giddy-up.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-performance-features-engine-l.jpg?imwidth=960
2020,Cadillac,XT4,PERFORMANCE,9-SPEED AUTOMATIC TRANSMISSION,The 9-speed automatic transmission helps deliver immediate power and efficient performance at a moment’s notice. Like right now.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-performance-features-transmission-l.jpg?imwidth=960
2020,Cadillac,XT4,PERFORMANCE,TWIN-CLUTCH ALL-WHEEL DRIVE,"Like a beautiful symphony, the sophisticated twin-clutch AWD system orchestrates control by delivering torque to the wheels that need it most. Music to our ears.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-performance-features-awd-l.jpg?imwidth=960
2020,Cadillac,XT4,PERFORMANCE,SELECTABLE DRIVE MODES,"With selectable drive modes such as Tour, Sport and Snow/Ice, the XT4 can adapt to the road like it was born to be there. Because it was.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-performance-features-drive-modes-l.jpg?imwidth=960
2020,Cadillac,XT4,PERFORMANCE,ACTIVE SPORT SUSPENSION,"The available Active Sport Suspension uses Continuous Damping Real-Time Control to adjust the chassis tuning at each wheel every two milliseconds, for exceptional ride and handling. Feel that? Nope.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/new/xt4-performance-features-suspension-l.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,INTUITIVE CONTROLS,"With a tactile Rotary Infotainment Controller and an intuitive instrument panel layout, the world is in the palm of your hand. High-five to that.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-interior-features-controls-l.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,DEVICE PAIRING,Dual Bluetooth®† connectivity and NFC† “one-touch” phone pairing are like having the world’s best co-pilot. Only this one doesn’t always change the radio station.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-interior-features-device-pairing-l.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,INSPIRED STYLE,"Your road. Your style. With authentic interior decor choices and a keen attention to every last detail, the XT4 is tailored to you. And it’s a perfect fit.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-interior-features-style-l.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,FRONT LUMBAR MASSAGING SEATS,Turn every drive into a luxurious experience with available front massaging seats that include heat and ventilation. Any more luxurious and you’d need to take a spa day.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-interior-features-massage-seats-l.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,INTERIOR SPACE,"The 39.5” of segment-leading rear leg room, along with versatile cargo space behind the 60/40 folding rear seats, means there’s room for all your friends. And all their baggage.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-interior-features-space-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,AVAILABLE HANDS-FREE POWER LIFTGATE,"No free hands? No problem. The available Hands-Free Power Liftgate uses a foot sensor underneath the rear of the XT4 to access the trunk with ease. Open, sesame.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-liftgate-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,AVAILABLE ROOF RAILS,"With available roof rails that can be used to transport large gear, the XT4 is raising the level of adventure. To the roof.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-roof-rails-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,18″ ALLOY WHEELS,Turning heads comes standard with 18” alloy wheels. Premium Luxury and Sport models offer an available 20″ of distinction of distinction.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-wheels-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,SIGNATURE LED LIGHTING,"With signature LED lighting standard in both the front and the rear, you’ll always shine. Even in the dark.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-LED-lighting-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,SPORT GRILLE,"Aggressively stylish, the high gloss Sport Grille breaks free from ordinary.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-grill-l.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,LED TAILLAMPS,"With iconic LED Taillamps, you’ll always stand out.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/large/01_images/xt4-exterior-features-taillamp-l.jpg?imwidth=960
2020,Cadillac,XT4,PERFORMANCE,"With a restless 258 lb-ft of torque and  237 hp, the turbocharged engine brings the stampede. Giddy-up.",The 9-speed automatic transmission helps deliver immediate power and efficient performance at a moment’s notice. Like right now.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/medium-xs/01_images/xt4-performance-features-engine-m-s.jpg?imwidth=960
2020,Cadillac,XT4,INTERIOR,"With a tactile Rotary Infotainment Controller and an intuitive instrument panel layout, the world is in the palm of your hand. High-five to that.",Dual Bluetooth®† connectivity and NFC† “one-touch” phone pairing are like having the world’s best co-pilot. Only this one doesn’t always change the radio station.,https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/medium-xs/01_images/xt4-interior-features-controls-m-s.jpg?imwidth=960
2020,Cadillac,XT4,EXTERIOR,"No free hands? No problem. The available Hands-Free Power Liftgate uses a foot sensor underneath the rear of the XT4 to access the trunk with ease. Open, sesame.","With available roof rails that can be used to transport large gear, the XT4 is raising the level of adventure. To the roof.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2020/crossovers-suvs/xt4/medium-xs/01_images/xt4-exterior-features-liftgate-m-s.jpg?imwidth=960
2019,Cadillac,XT4,SAFETY,PEACE OF MIND COMES STANDARD,"Eight standard airbags†, Rollover Sensing and available OnStar Automatic Airbag† Notification provide additional peace of mind.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2019/crossovers-suvs/xt4-crossover/features/01_images/large/safety/vehicles-xt4-features-safety-airbags-2019-l.jpg?imwidth=960
2019,Cadillac,XT4,SAFETY,ONSTAR,"Drive with added confidence knowing an OnStar Advisor is available to help 24/7. Purchase a new properly equipped Cadillac vehicle and receive 2 years of OnStar Safety & Security coverage†, a 2-year trial of navigation services†, up to 1 year†of Remote Access services†, and 3 GB or 3 months of data†, whichever comes first.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2019/crossovers-suvs/xt4-crossover/features/01_images/large/technology/vehicles-xt4-features-technology-onstar-l.jpg?imwidth=960
2019,Cadillac,XT4,SAFETY,GRABS YOUR ATTENTION. SUBTLY.,"The available Safety Alert Seat sends a discreet pulse to the left, right or both sides of the driver’s seat, indicating the direction of the potential danger.",https://www.cadillac.com/content/dam/cadillac/na/us/english/index/vehicles/2019/crossovers-suvs/xt4-crossover/features/01_images/large/safety/vehicles-xt4-features-safety-safety-seat-2019-l.jpg?imwidth=960
