YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Lincoln,Nautilus,Technology,BLIND SPOT DETECTION,"Blind Spot Detection with Cross-Traffic Alert61 helps warn you of vehicles you might otherwise miss. The system uses radar in the rear quarter panels to identify a vehicle entering your blind spot and alerts you with an indicator light in the sideview mirror. Cross-Traffic Alert also uses radar to detect vehicles approaching from either side when you’re slowly backing out of a parking spot or your driveway. If it detects a vehicle approaching from up to 15 yards away, it sends an audible warning, a visual display in the sideview mirror and a signal in the message center.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2020/collections/3-2/19_nts_gal_vid_blis_167.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg
2020,Lincoln,Nautilus,Technology,REAR VIEW CAMERA WITH REAR CAMERA WASH,"The Rear View Camera takes the guesswork out of knowing what is behind your vehicle.61  Should the camera lens become dirty, cleaning it is as simple as activating the rear window windshield wash that simultaneously triggers the camera wash—making what’s behind you clear as day.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2020/collections/3-2/rearcamera_16_highres_167.jpg/_jcr_content/renditions/cq5dam.web.1440.1440.jpeg
2020,Lincoln,Nautilus,Technology,LINCOLN+ALEXA*,"The Lincoln Motor Company and Amazon have collaborated to bring many familiar in-home uses of Alexa to your Lincoln vehicle. By using Lincoln+Alexa via SYNC® 3 AppLink®,12 you can ask to hear news stories and play music, add things to your Amazon shopping list, update personal calendars and use voice controls to operate smart-home devices, including your garage door, thermostats, lighting and more. Click here to discover the full range of capabilities.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2020/collections/3-2/19_nts_feat_tech_alexa_167.jpg/_jcr_content/renditions/cq5dam.web.1440.1440.jpeg
2019,Lincoln,Nautilus,Performance,TWIN-TURBOCHARGED 2.7L V6 ENGINE,"Discover an impressive combination of power, efficiency and quietness. The available Twin-Turbocharged 2.7L V6 engine is ready for wherever the road takes you, delivering 335 horsepower and 380 lb.-ft. of torque*. In creating it, our engineers were mindful of fuel efficiency as well as sound, designing it to be remarkably quiet. The result? An EPA-estimated highway fuel economy rating of 25 mpg.**",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/3-2/19_nts_feat_perf_v6engine_32.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg
2019,Lincoln,Nautilus,Performance,2.0L TURBOCHARGED I-4 ENGINE,"The 250 horsepower* Turbocharged I-4 2.0L engine uses three technologies—the boost of turbocharging, the precision of direct injection and the sophistication of twin independent variable camshaft timing (Ti-VCT). The result is an outstandingly smooth drive.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/15-16/19_nts_feat_perf_2lengine_1516.jpg/_jcr_content/renditions/cq5dam.web.768.768.jpeg
2019,Lincoln,Nautilus,Performance,8-SPEED TRANSMISSION,More shift points make for a smoother drive. The Lincoln Nautilus features an 8-speed SelectShift® transmission to create a more elegant and effortless sensation when shifting gears.,https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/3-2/19_nts_feat_perf_pushshift_32.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg
2019,Lincoln,Nautilus,Performance,AUTO EMERGENCY BRAKING,"Automatic Emergency Braking (AEB) a standard feature of Lincoln Co-Pilot360™, can potentially help avoid or lessen the severity of a traffic accident. A vehicle with AEB supports the driver by helping to avoid or lessen the severity of front crashes with another vehicle in certain situations. By using radar and camera technology to scan the road ahead, if the system detects another vehicle, it can provide a collision warning and automatically apply the brakes if the driver has not taken corrective action.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/3-2/19_nts_feat_perf_autoebrake_32.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg
2019,Lincoln,Nautilus,Performance,ADAPTIVE STEERING,"Simply stated, available adaptive steering adjusts how much the vehicle responds to the driver’s steering input in order to turn the front wheels. It works by analyzing vehicle speed and driver input. That information is used to automatically adjust the firmness of the steering wheel to produce smooth and precise steering. This system delivers an agile connected feel at high speeds and reduces driver input at low speeds. To create an even more tailored experience, drivers can choose their preferred steering setting from among Normal, Comfort and Sport modes.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/equipment/3-2/19_nts_adptvsteering_32.jpg/_jcr_content/renditions/cq5dam.web.768.768.jpeg
2019,Lincoln,Nautilus,Performance,ADAPTIVE CRUISE CONTROL WITH STOP-AND-GO AND LANE CENTERING,"Adaptive cruise control in the Lincoln Nautilus does much more than keep the vehicle traveling at a set speed. Stop-and-go marries camera and radar, so the Nautilus can sense and adjust to the pace of nearby cars.61
 Stop-and-go allows the vehicle to come to a complete stop and restart when traffic begins to move.* Plus, Lane Centering uses data from the forward-looking radar and camera to provide continuous steering support to help keep the vehicle centered in the lane.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/3-2/19_nts_feat_perf_acclane_32.jpg/_jcr_content/renditions/cq5dam.web.768.768.jpeg
2019,Lincoln,Nautilus,Performance,ELECTRIC POWER-ASSISTED STEERING (EPAS),"Electric power assisted steering (EPAS) provides an easy, fluid steering feel at low speeds and a more firm and controlled feel at higher speeds. The system constantly monitors and detects changing road conditions and compensates for road surface irregularities.",https://www.lincoln.com/cmslibs/content/dam/vdm_ford/live/en_us/lincoln/nameplate/nautilus/2019/collections/features/3-2/19_nts_feat_perf_epas_32.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg
