YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Lincoln,Navigator,Performance,10-SPEED SELECTSHIFT® AUTOMATIC TRANSMISSION,"The 10-speed transmission in the Lincoln Navigator helps to balance power with performance. With 10 independent shift points, the engine can operate in its sweet spot and avoid the highs and lows associated with fewer gears.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/18_LNC_NAV_30109_Highres_RGB_170825.tif?croppathe=1_16x7&wid=1440
2020,Lincoln,Navigator,Performance,TWIN-TURBOCHARGED 3.5L ENGINE,"Capable of producing 450 horsepower* and 510 lb.-ft. of torque,* the twin-turbocharged 3.5L engine in the Navigator is a true powerhouse. With smooth and controlled power, the Lincoln Navigator performs in a way that matches both your mood and the road. Additionally, this vehicle features five standard, selectable Lincoln Drive Modes, as well as a sixth available Slow Climb drive mode.**",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/19_LNC_NAV_HeroImage_30253.tif?croppathe=1_16x7&wid=1440
2020,Lincoln,Navigator,Performance,AUTO HOLD,"Auto Hold helps to reduce the effort of keeping your vehicle still at stop signs, signals and other braking situations. When you bring the vehicle to a standstill using the brake pedal, you can stop depressing the brake and the system will hold the vehicle in position, even on hills. When you engage the accelerator, Auto Hold will then release the brakes.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/18_LCN_NAV_54AutoHold_v1.tif?croppathe=1_16x7&wid=1440
2020,Lincoln,Navigator,Performance,Lincoln Drive Modes,"Satisfy both your desire for control and need for excitement with the simple twist of a dial. From Conserve to Excite, the Lincoln Navigator offers five standard, distinct selectable drive modes for confidence, exhilaration and control in a wide variety of driving conditions. These modes include Slippery, Excite, Conserve, Deep Conditions, and Normal, as well as a sixth, available Slow Climb* drive mode. Each mode has a number of calculated settings that tune the vehicle, including the available adaptive suspension, shift points, 4x2 vs. 4x4 drive lines, information displays and more — and it all happens with the simple twist of a knob.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/19_17024_LNC_NAV_123_INT_layered_slt_conservemode.tif?croppathe=1_3x2&wid=900
2020,Lincoln,Navigator,Performance,ADAPTIVE SUSPENSION,"Road conditions vary and, for smooth and confident driving, your suspension should too. The adaptive suspension controls the up-and-down movement of the wheels when driving on uneven surfaces and over potholes. This system, controlled by the five standard selectable Lincoln Drive Modes*—including Deep Conditions for sandy terrain—helps to decrease the stress of harsh driving situations without compromising the comfort within.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/19_LNC_NAV_adaptsusp_30266.tif?croppathe=1_3x2&wid=900
2020,Lincoln,Navigator,Performance,TOWING CAPABILITIES,"Make simple work of heavy loads with best-in-class towing.* With a twin-turbocharged engine capable of producing 450 horsepower and 510 lb.-ft. of torque,** and an engine-adapting standard tow/haul mode, the Navigator seamlessly translates power into towing performance—up to 8,700 lbs. Additionally, a Heavy-Duty Trailer Tow Package is available.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/19_LNC_NAV_trailer_30258.tif?croppathe=1_16x7&wid=1440
2020,Lincoln,Navigator,Performance,HEAVY-DUTY TRAILER TOW PACKAGE*,"In situations where power truly matters, the Lincoln Navigator delivers. The Heavy-Duty Trailer Tow Package features a Class IV trailer with 4-pin and 7-pin connectors, heavy-duty radiator, smart trailer tow, trailer brake controller and trailer sway control. With this package, electronic traction assist delivers an almost infinite combination of torque to each wheel, making for greater confidence and control when towing heavy loads in virtually any driving condition. Plus, with Pro Trailer Backup Assist,™ you can let go of the wheel* and use a simple knob to effortlessly back up your trailer. Additionally, a 2-speed transfer case and Slow Climb drive mode are included on 4x4 models.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/18_LCN_NAV_55TrailerBackUpButton_v1.tif?croppathe=1_16x7&wid=1440
2020,Lincoln,Navigator,Performance,ALL-ALUMINUM-ALLOY BODY,"The all-aluminum-alloy body of the Lincoln Navigator gives new meaning to the phrase “less is more.” The reduced weight from aluminum, when compared to previous generations, allows Navigator to be enriched with cutting-edge features that enhance comfort, quietness and the driving experience. This pairing of frame and body helped the Lincoln Navigator earn the National Highway Traffic Safety Administration’s (NHTSA’s) 2018 5-Star Overall Vehicle Score in its New Car Assessment Program—the highest possible rating.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/20_LNC_NAV_30055_Hires_RGB_170306.tif?croppathe=1_3x2&wid=900
2020,Lincoln,Navigator,Performance,FOUR-WHEEL DRIVE,"Whether it’s on the road or off, available 4x4 capability offers true mastery of your journey. The Navigator’s 4x4 powertrain unlocks and deftly applies the twin-turbocharged engine’s 450 horsepower* and 510 lb.-ft. of torque,* making rugged driving conditions easily traversed. Plus, by adding available Hill Descent Control™ and tow hooks, trying situations will be easily overcome.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/18_LCN_NAV_634WheelDrive_v1.tif?croppathe=1_3x2&wid=900
2020,Lincoln,Navigator,Technology,ENHANCED ACTIVE PARK ASSIST,"Parallel and perpendicular parking the Lincoln Navigator requires less effort and strain thanks to standard Enhanced Active Park Assist.61 Ultrasonic sensors can locate an available spot and, while you control the shifter buttons, brake and accelerator, the vehicle steers itself into place. Plus, with class-exclusive* park out assist, the same technology that helped guide you in helps make getting out just as effortless.",https://www.lincoln.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/lincoln/nameplate/navigator/2020/collections/dm/19_LNC_NAV_30113_Hires_RGB_170829.tif?croppathe=1_16x7&wid=1440
